id_number,family_code​,family,macroarea,iso,language,included,form,source,pages,comment,example,example_source,example_page,morphosynt_type,morphosynt_type_as_in_source,non_emphatic,non_emphatic_comment,other_uses,other_uses_comment,meaning_with_negation,meaning_with_negation_comment,maturation
92,cadd1255,Caddoan,North America,cad,Caddo,yes,hahʔuk#,melnar2004,107-108,"""an activity or state that begins at some point in the past and continues, interrupted or not, to the time-frame referenced by the verb."" Used with activity or state, habitual and non-habitual. There are also proclitics ‘continuative durative subordinator', ‘continuative subordinator', 'past continuative', 'continuative'. ",caddo.png,melnar2004,108,adverb/particle,proclitic,no,,,,no longer,"no longer, not anymore",no longer
93,tara1323,Tarascan,North America,tsz,Purepecha,yes,-saN(-sam),chamoreau1998,348,"apparently derived from progressive, marker of progressive + marker of future",purepecha.png,chamoreau1998,348,affix,affix,no,,,,,,auxiliary / affix
94,araw1281,Arawakan (> Southern Maipuran),South America,pib,Yine,yes,-wa,hanson2010,245-247,"external aspect marker ""Imperfective aspect is expressed in Yine with the suffix -wa, which indicates that the event denoted by the predicate is ongoing and/or has not come to an end"", ""compatible with the completive suffix"". Cf. a continuous (internal) aspect suffix -wa on p. 203; appears on verbal predicates, nonverbal predicates, direct objects",yine.png,hanson2010,245,affix,suffix,no,"p. 246 ""still small/young""",,+ neg + temp = before,not yet (still not),"ex. 634a, + finish = not yet (ex. 633)",auxiliary / affix
95,araw1281,Arawakan (> Caribbean Arawakan),South America,guc,Wayuu,yes,-yülia,mansen1984,535-539,without negation is possible only with locative words like 'there',wayuu.png,mansen1984,535,affix,el sufijo de tiempo,no,,,,not yet (still not),"not yet, p. 535-539",auxiliary / affix
96,tupi1275,Tupian,South America,gug,Paraguayan Guaraní,yes,-ve,gerasimov2020,2,comparative suffix 'more',guarani.png,gerasimov2020,2,affix,suffix,no,"p. 234 ""still alive"" (with gueteri)",more,more,no longer,"see handout by Gerasimov (""she could not sleep anymore""); + already = not anymore, see examples in Estigarribia 2020: 237, 272, etc.","auxiliary / affix, no longer"
97,tupi1275,Tupian,South America,gug,Paraguayan Guaraní,yes2,gueteri,estigarribia2020,234,"no special description, no examples without -ve",guarani2.png,estigarribia2020,234,adverb/particle,adverb,no,"p. 234 ""still alive"" (with -ve)",,,not yet (still not),"not yet, Estigarribia 2020: 156",
98,pano1259,Pano-Tacanan,South America,ese,Ese Ejja,yes,-poki/ -pokya,vuillermet2012,478-480,"“keep on / continue doing”, ""an action is deliberately/voluntarily performed continuously"" - ambiguous with pluractionality",ese.png,vuillermet2012,478,affix,suffix,no,,,,,,auxiliary / affix
99,pano1259,Pano-Tacanan,South America,ese,Ese Ejja,yes2,-so'o,vuillermet2012,543,"no special description, glossed as still but in examples more similar to already, compatible with finish",ese2.png,vuillermet2012,543,affix,suffix,no,,,,,,auxiliary / affix
100,quec1387,Quechuan,South America,qux,Yauyos Quechua,yes,-Raq,shimelman2017,265-267,"""indicates continuity of action, state or quality"", in combination with wh-words meaning is unclear. The language had another name in the previous version of Glottolog",quechua.png,shimelman2017,266,adverb/particle,enclitic,no,,"despair (""how on Earth... ""), first, until, future","despair (""how on Earth... ""), once ~ first ~ not until, imminent future, but ~ while ~ whereas (contrast)",not yet (still not),"not yet, ex. 5, p. 266",non-continuative meanings
101,cari1283,Cariban,South America,car,Galibi Carib,yes,noro,courtz2008,104,no special description,carib.png,courtz2008,180,adverb/particle,particle,no,"p. 180 ""I was still an adolescent"", p. 198 ""is still a little boy""",,"+ while = before, not very clear glossing but see p. 184",no longer,"not very clear examples but see p. 201 'don't live anymore', p. 177",no longer
102,nucl1710,Nuclear-Macro-Je,South America,xav,Xavánte,yes,-uösi,estevam2011,291-292,possible with punctives (> multiplicative meaning),xavante.png,estevam2011,291,affix,suffix,no,,,,,,auxiliary / affix
103,nucl1710,Nuclear-Macro-Je,South America,xav,Xavánte,yes2,(za)hadu,estevam2011,107,as an answer negation marker is omitted,xavante2.png,estevam2011,107,adverb/particle,la particule,no,"p. 40 ""est encore dur"" (avocado is still unripe)",,,not yet (still not),"not yet, p. 152, ex. 15a; p. 198, ex. 75d; etc.",
104,chib1249,Chibchan,South America,rma,Rama,yes,-sai,grinevald1990,157-158,is not combined with tense marker (in contrast to completive and repetitive markers which are in complementary distribution with persistive); -i maybe analyzed as present tense marker; all examples are in present tense,rama.png,grinevald1990,157,affix,suffix (persistive aspect marker),no,not OCRed,,,not yet (still not),"not yet, ex. 66",auxiliary / affix
105,tuca1253,Tucanoan,South America,tnc,Tanimuca-Retuarã,yes,-~ɟuhú-,eraso2015,263,incompletive aspect,tanimuca.png,eraso2015,263,affix,suffix,no,,,,,,auxiliary / affix
106,huit1251,Huitotoan,South America,huu,Murui Huitoto,yes,nia,wojtylak2017,601,"no special description; a lot of not clear examples in texts; cf. a marker of pluractionality (""durative"", p. 334) - does it have a continuative interpretation?",murui.png,wojtylak2017,601,adverb/particle,particle,no,,,,not yet (still not),"not yet, ex. 5.66",no mature features
107,mata1289,Matacoan,South America,cag,Nivaclé,yes,jôjje-clai,fabre2016,364-365,"""‘todavía, ya; ya no; antes de’. Puede anteponerse a un verbo o a un nombre. También puede ser predicativo."" etymologically todavía-DURANTE",nivacle.png,fabre2016,365,adverb/particle,adverb,no,"p. 365 ""todavía estaba vivo"" (contrastive)",before,"before, ex. 972, 975",not yet (still not),"still not / not yet, ex. 53j (p. 103)",non-continuative meanings
108,mata1289,Matacoan,South America,cag,Nivaclé,yes2,manlhe-e-sh,fabre2016,360,"""‘todavía está/estaba hacienda algo""; no examples without negation; diachronically stay + instr",nivacle2.png,fabre2016,360,auxiliary,auxiliary,no,,,,not yet (still not),still not,auxiliary / affix
109,araw1282,Arawan,South America,cul,Culina,yes,-kha,dienst2014,"98, 126","-kha is also a verb 'move, go', remoteness suffix in adverbs (p. 194)",culina.png,dienst2014,126,affix,suffix,no,"too many examples, not all are checked",first,"first, ex. 660 (p. 263), see also ex. 152 (p. 110)",not yet (still not),"not yet, ex. 214, 215","auxiliary / affix, non-continuative meanings"
110,barb1265,Barbacoan,South America,ttk,Totoro,yes,toavia / todavia / toapia,gonzales2019,692,"borrowing from Spanish, no special description",totoro.png,gonzales2019,692,adverb/particle,adverb,no,,more,"more (?), ex. 429b (p. 323)",not yet (still not),"still not / not yet, ex. 13, p. 743",no mature features
111,namb1299,Nambiquaran,South America,wmd,Mamaindé,yes,naih,eberhard2009,506,"in most examples is ambigous with ""in spite of""",mamainde.png,eberhard2009,359,adverb/particle,adverb,no,,,,,,no mature features
112,namb1299,Nambiquaran,South America,wmd,Mamaindé,yes2,-jãʔ (-ja / -ʔai / -jaʔna),eberhard2009,"404, 407",can be combined with other derivational suffixes,mamainde2.png,eberhard2009,407,affix,manner derivational suffix,no,,,,,,auxiliary / affix
113,chon1288,Chonan,South America,teh,Tehuelche,yes,-r,garay1998,143,not very clear description,tehuelche.png,garay1998,143,affix,suffix,no,not OCRed,,,,,auxiliary / affix
114,chon1288,Chonan,South America,teh,Tehuelche,yes2,keTš ~ keTx,garay1998,295,no special description,tehuelche2.png,garay1998,295,adverb/particle,adverb,no,not OCRed,,,,,
115,nada1235,Naduhup,South America,jup,Hup,yes,tæ,epps2008,584-586,"used with predicates, predicate adjectives, predicate nominals (still night = morning)",hup.png,epps2008,584,adverb/particle,particle,yes,"p. 164 ""still night"" (see also p. 319), ""still day"", ""still a very young child""",,,not yet (still not),"not yet, ex. 209-210",non-emphatic
116,boro1281,Bororoan,South America,bor,Bororo,yes,kimo,crowell1979,134,,bororo.png,crowell1979,134,adverb/particle,limiting adverb,no,,,,ungrammatical / marginal,,no longer
117,peba1241,Peba-Yagua,South America,yad,Yagua,yes,-jancha,payne1985,253,"""The formative -jancha 'continuous' means to do something without letting up or without stopping to rest""",yagua.png,payne1985,253,affix,suffix,no,,,,,,auxiliary / affix
118,arau1255,Araucanian,South America,arn,Mapudungun,yes,pet´u,smeets2008,"170, 256",competition with -ka ~ Esperson cycle (p. 256); both telic and atelic verbs,mapudungun.png,smeets2008,170,adverb/particle,adverb,no,"p. 353 ""still young"" (together with -ka)",,"""becoming"" (with perfective verbs); + neg = before",not yet (still not),"not yet, ex. 40, p. 460",no mature features
119,arau1255,Araucanian,South America,arn,Mapudungun,yes2,-ka,smeets2008,"172, 255-256",cf. suffix -ke 'constant feauture' (p. 166),mapudungun2.png,smeets2008,172,affix,suffix,yes,"p. 76, p. 225, p. 232 (a good example), p. 417, p. 427 ... ""still young"", p. 329 ""still alive"", p. 437 ""still little""",,,,,"auxiliary / affix, non-emphatic"
120,puin1248,Isolate,South America,pui,Puinave,yes,-ju,higuita2008,262,"primarily a progressive marker; in the continuative meaning can be combined with the superlative marker -patjei (p. 306); used with verbs, nominalizations",puinave.png,higuita2008,262,not_clear, el clítico -ju de ‘imperfectivo’ (p. 261),no,"too many examples, not all are checked",progressive,progressive,,,non-continuative meanings
121,pama1250,Pama-Nyungan (> Desert Nyungic),Australia,nbj,Ngarinman,yes,=rni,meakins2014,387-388,"""Attached to a coverb, =rni can also have the meaning of ‘still’""; glossed as only; ""Broadly speaking, =rni is an expectation modifying clitic""; lexicalized with some nouns (e.g. ‘early in the morning’); apparently, another particle jubu 'only, just' has the same polysemy, cf. ex. 1032 (p. 356); see also borrowing (?) 'yet' in ex. 35 (p. 471)",ngarinman.png,meakins2014,387,adverb/particle,clitic,no,"too many examples, not all are checked","only, just, until, while","only, just, until, while, see section 8.3.1.1 =rni ONLY",,,non-continuative meanings
122,pama1250,Pama-Nyungan (> Desert Nyungic),Australia,wbp,Warlpiri,no,-juku,nash1980,56,"still, yet, now as then'; there is also a derivational enclitic with the concessive meaning -juku-jala 'still, despite this' (p. 57); shows morphonological alternation (p. 86); in Bible is often combined with junga 'stright (?)'",warlpiri.png,nash1980,41,adverb/particle,enclitic,,,,,,,
123,pama1250,Pama-Nyungan (> Southeastern Pama-Nyungan),Australia,wyb,Ngiyambaa,yes,guwayu-bu,donaldson1977,93,"""guwayu-bu can be translated 'all the time' in a sentence in which the verb is in the past tense, 'still' when the verb is in the present tense (T3,7), and 'for ever' when it is irrealis""; long_time-UNIV (universal quantifier)",ngiyambaa.png,donaldson1977,354,adverb/particle,adverb,no,,"all the time, forever","all the time, for ever",,,non-continuative meanings
124,pama1250,Pama-Nyungan (> South-West Pama-Nyungan),Australia,vma,Martuthunira,yes,waruu / waruul,dench1995,130-131,"waruu-l = still-THEN; ""The nominal waruul 'still', indicates the persistence of a state or the continuation of a series of actions (examples (5.94), (5.95)). It also occurs as part of the apparently derived verb wanuulwa-L 'to continue to be unable to do' (5.96).""; see also adverb parilha (and the lexical verb parilha 'keep on doing/trying')",martuthunira.png,dench1995,130,adverb/particle,nominal,no,"too many examples, not all are checked",,"some discource function (?), ex. 10 (p. 267)",not yet (still not),"still not, ex. 6.54 (p. 155), 8.49",no mature features
125,pama1250,Pama-Nyungan (> South-West Pama-Nyungan),Australia,vma,Martuthunira,yes2,parilha,dench1995,375,see also lexical verb,martuthunira2.png,dench1995,283,adverb/particle,adverb,no,"p. 283 ""still alive"" (contrastive)",,,,,
126,pama1250,Pama-Nyungan (> Yarli-Baagandji),Australia,drl,Paakantyi,no,-ŋana,hercus1982,194-195,"not sure; in all example is ambigous with ""all the time"" or progressive",paakantyi.png,hercus1982,195,affix,aspectual suffix,,,"all the time, progressive","all the time, progressive (?), p. 195",,,
127,gunw1250,Gunwinyguan,Australia,gup,Bininj Kun-Wok,yes,djal-,evans2003,515-522,"main meaning is only, but historically first meaning is continuative; see also Evans 1995 (A-quantifiers and scope in Mayali)",bininj-kun-wok.png,evans2003,518,affix,prefix,no,"not OCRed; p. 521 ""still crawling""","only, until, all the time","only, keep doing until, all the time, only (NP), see section 11.3.5.2",,,"auxiliary / affix, non-continuative meanings"
128,nyul1248,Nyulnyulan,Australia,bcj,Bardi,yes,gardi (garda / gardo / gardoo ?),bowern2012,649-651,"counterexpectation seems to be obligatory (""adverb garda, which means ‘still’ in the sense of ‘X still did something (even though I told him not to)’""",bardi.png,bowern2012,651,adverb/particle,adverb,no,"p. 651 ""still alive""","until, after, more","until, after, yet another; section 16.3.1 ('until'), ex. 5.168 ('after'), ex. 12 (p. 741) ('yet another')",,,non-continuative meanings
129,mirn1241,Mirndi (> Yirram),Australia,djd,Jaminjung-Ngaliwurru,no,buyi,schultze2000,519,"continue V, keep on Ving; ""most commonly used with motion verbs, and are cross-listed as coverbs of direction""; only motion verbs",jaminjung.png,schultze2000,194,auxiliary,auxiliary,,,,,,,
130,worr1236,Worrorran,Australia,wro,Worrorra,yes,wali,clendon2014,237-238,"glossed as PERF or PROG or RESUM or PM; ""Used in combination with verbs, wali signals perfect aspect unambiguously: although an action may be completed, its effects are still felt in, or are still important to the present""; see also wali maa (still + prog) 'keep on'; ""frequently in verbless sentences""",worrorra.png,clendon2014,238,adverb/particle,adverb,no,"p. 238 ""still a little girl"", p. 434 ""when he was still a young man""","perfect, wait, nevertheless","perfect, wait, nevertheless; ex. 7.7c (nevertheless)",not yet (still not),"not yet, p. 240 (wali waa)",non-continuative meanings
131,worr1236,Worrorran,Australia,wro,Worrorra,yes2,weni-nyine,clendon2014,268,no special description; now-INST,worrorra2.png,clendon2014,268,adverb/particle,now-INST,no,,,,,,
132,worr1236,Worrorran,Australia,wro,Worrorra,yes2,-aanjanu,clendon2014,268-269,"""attached to nouns derives adverbs indicating that some event occurred while the noun so marked existed. This suffix is unusual in that an essentially verbal meaning may be marked only by nominal affixation.""",worrorra3.png,clendon2014,269,affix,suffix,yes,"p. 269 ""while (some people) were children"", ""while there’s still daylight"", ""While the moon is out"" (good examples to cite omission of still in translation)",,,,,"auxiliary / affix, non-emphatic"
133,mirn1241,Mirndi,Australia,wmb,Wambayan,yes,mirra,nordlinger1998,177-179,predicate restrictions - ascriptive verbless clause,wambayan.png,nordlinger1998,178,auxiliary,auxiliary,no,"p. 178 ""still alive""","sit, stay, be, become","sit, stay, be, become",,,"auxiliary / affix, non-continuative meanings"
134,mirn1241,Mirndi,Australia,wmb,Wambayan,yes2,=nima,nordlinger1998,205-207,,wambayan2.png,nordlinger1998,206,adverb/particle,clitic,not clear,"p. 206 ""still dark"" (contrastive), p. 206 ""the sun is still high"", p. 254 ""still early""","only, just","only, just",,,non-continuative meanings
135,iwai1246,Iwaidjan Proper,Australia,mph,Mawng,yes,akut,singer2006,91,very broad meaning,mawng.png,singer2006,342,adverb/particle,adverbial particle,no,,"again, too, always","again, too, always",,,non-continuative meanings
136,iwai1246,Iwaidjan Proper,Australia,mph,Mawng,yes2,angkat,singer2006,91,very broad meaning,mawng2.png,singer2006,89,adverb/particle,adverbial particle,no,,"always, forever","always, forever",,,non-continuative meanings
137,mang1423,Mangarrayi-Maran,Australia,mpc,Mangarrayi,yes,ŋiraŋa,merlan1989,34-35,,mangarrayi.png,merlan1989,35,adverb/particle,temporal conjunction,no,,wait,"wait a minute, hang on",not yet (still not),"not yet, p. 35 but no examples",non-continuative meanings
138,mani1293,Maningrida,Australia,gge,Guragone,yes,rangin,green1995,234,no special description; cf. also burdak 'wait' in ex. 3-55,guragone.png,green1995,234,adverb/particle,adverb,no,,same,"same, ex. 5-115",,,non-continuative meanings
139,tang1340,Tangkic,Australia,gyd,Kayardild,yes,=(i)da,evans1995,389-392,"""conveys whatever sense of ""sameness"" is appropriate to its host""; used with verbs, pronouns, noun/adjectives, and locationals; diachronic source - niida 'the same'",kayardild.png,evans1995,391,adverb/particle,clitic,yes,"p. 321 ""still alive"" (ida + wirdij), p. 391 ""still small"", p. 583 ""children still in their bellies"", p. 739 ""Baby still at the breast""","a long time yet, even","a long time yet, even; p. 392",,,"non-continuative meanings, non-emphatic"
140,tang1340,Tangkic,Australia,gyd,Kayardild,yes2,wirdija,evans1995,321-323,"the verb wirdija 'stay, be at, remain'; usually accompanied by the clitic -(i)da 'SAME'; only verbless clause types",kayardild2.png,evans1995,321,auxiliary,verb,no,,"be, stay, become","be, stay, become",,,"auxiliary / affix, non-continuative meanings"
141,giim1238,Giimbiyu,Australia,urc,Urningangg,yes,meheb,campbell2006,31,no special description; examples only with alive (=stand),urningangg.png,campbell2006,31,adverb/particle,adverb/particle,no,"p. 31 ""still alive"" (contrastive)",,,,,no mature features
142,jarr1235,Jarrakan,Australia,gia,Kitja,yes,mamperre,kofod1996,43,"no special description, no examples without negation; see also continuous Action Marker -nte (p. 116) 'kept on doing, went along doing or always used to'",kitja.png,kofod1996,43,adverb/particle,adverb,no,,wait,wait,not yet (still not),not yet,non-continuative meanings
143,yang1287,Yangmanic,Australia,wrr,Wardaman,yes,gayawun,merlan1994,164; 323,"see also wirri-gay-la 'tomorrow night, next day'; ""literally glossed according to its etymology, the form means ""relating to today, now""""; diachronic source - gaya 'today', or 'right now' (a shifter) + nominal suffix (section 9.4)",wardaman.png,merlan1994,164,adverb/particle,"adverb, interjection",no,"p. 164 ""still alive""","for a while, wait","for a while, just a minute!, wait!, hang on!; p. 164",not yet (still not),"not yet / still not, ex. 605 (p. 250), ex. 294 (p. 359)",non-continuative meanings
144,buna1274,Bunaban,Australia,gni,Gooniyandi,yes,=nyali,mcgregor1990,459-474,there is a long discussion on relations between meanings; in the continuative sense only non-verbal,gooniyandi.png,mcgregor1990,464,adverb/particle,clitic,no,"p. 315 ""still young""","again, also, too, same, all, always, throughout, together, exactly, just, really, very, only","again, also, too, same, all, always, throughout, together, exactly, just, really, very, early in the morning (+ morning), only; p. 469",,,non-continuative meanings
145,buna1274,Bunaban,Australia,gni,Gooniyandi,yes2,wamba,mcgregor1990,511-512,accompanied by -nyali; predicate restrictions - present tense,gooniyandi2.png,mcgregor1990,511,adverb/particle,adverb,no,"p. 519 ""still crawls"" (about a child) (contrastive context)",later,later (with future tense),not yet (still not),"still not, ex. 6-188",non-continuative meanings
146,garr1260,Garrwan,Australia,wrk,Garrwa,yes,-wa,mushin2012,199-200,used with both stative predicates and activity predicates,garrwa.png,mushin2012,200,affix,aspect-like morpheme,no,"p. 259 ""still alive""",,,not yet (still not),"not yet, + 'remain' + neg p. 200",auxiliary / affix
147,limi1242,Limilngan-Wulna,Australia,lmc,Limilngan,yes,ulik,harvey2001,167,(died in 2009) no special description,limilngan.png,harvey2001,142,adverb/particle,adverb,no,,wait,wait; ex. 34 (p. 141),,,non-continuative meanings
148,nort1547,Northern Daly,Australia,mpb,Mullukmulluk,yes,way,birk1976,32,,mullukmulluk.png,birk1976,32,adverb/particle,temporal (durative) specifier,no,"p. 56 ""still alive""",,,,,no mature features
149,nort1547,Northern Daly,Australia,mpb,Mullukmulluk,yes2,tYin-taŋ-way,birk1976,32,accompanied by -way; ambigous with all the time; see p. 89 on taŋ- 'still',mullukmulluk2.png,birk1976,32,adverb/particle,temporal (habitual) specifier,no,,"always, all the time","always, all the time",,,non-continuative meanings
150,tiwi1244,Isolate (Australia 1),Australia,tiw,Tiwi,yes,ninganuwanga / muya (?),lee1987,"135, 387",in Modern Tiwi there is also a borrowing stil,tiwi.png,lee1987,387,adverb/particle,particle,no,no examples at all,,,,,no mature features
151,wage1238,Isolate (Australia 2),Australia,waq,Wageman,yes,goko,cook1987,274-275,,wageman.png,cook1987,274-275,adverb/particle,adverb,no,"p. 277 ""still small""","again, wait","again (back), wait",,,non-continuative meanings
152,aust1307,Austronesian (> Malayo-Polynesian > Celebic),Papunesia,khc,Tukang Besi North,yes,-ho,donohue1999,173-174,"""incomplete""; predicate restrictions - only agentive verbs, non-agentive + 'exist'",tukang-besi.png,donohue1999,174,affix,suffix,no,"p. 370 ""still very young""",,"+ neg + from = before, p. 329, ex. 115",not yet (still not),"not yet, ex. 25 (p. 155)",auxiliary / affix
153,aust1307,Austronesian (> Malayo-Polynesian),Papunesia,cha,Chamorro,yes,trabiha,chung2020,396; 405-406,almost no examples without without negation; borrowing from Spanish (as written in the online chamorro dictionary),chamorro.png,chung2020,406,adverb/particle,adverb,no,,,,not yet (still not),"not yet, p. 405-406",no mature features
154,aust1307,Austronesian (> Malayo-Polynesian),Papunesia,cha,Chamorro,yes2,ha',chung2020,513-516,very broad meaning,chamorro2.png,chung2020,344,adverb/particle,particle,no,"too many examples, not all checked","even, only, just, really, alone","even, only, just, really, alone",,,non-continuative meanings
155,aust1307,Austronesian (> Malayo-Sumbawan),Papunesia,ind,Standard Indonesian,yes,masih,sneddonetal2010,206,used with both verbs and non-verbal predicates,indonesian.png,sneddonetal2010,206,adverb/particle,temporal marker,no,"p. 206 ""still young""",,,,,no mature features
156,aust1307,Austronesian (> Malayo-Polynesian > Greater Central Philippine),Papunesia,tgl,Tagalog,yes,pa,schachterotanes1972,415-419,"predicate restrictions: imperfective aspect, non-verbal predicates",tagalog.png,schachterotanes1972,416,adverb/particle,class 1 enclitic particle,no,"p. 418 ""still unripe"" (contrastive)","a while ago, more, first, also, too, just, in addition, while","quite a while ago (with temporal expressions), some more, first, also/too (with perfective aspect), just (with recent-perfective aspect), in addition, ~while (""in successive clauses""); p. 415-419; quite a while ago ~ already in Turkish, ""Pa extends the psychological distance between the two points of time""",not yet (still not),"not yet, p. 419",non-continuative meanings
157,aust1307,Austronesian (> Malayo-Polynesian > Oceanic > New Caledonian),Papunesia,nee,Nêlêmwa-Nixumwak,yes,gaa,bril2016,93-95,see also durative baa (sometimes ambigous with still),nelemwa.png,bril2016,93,adverb/particle,persistive marker,no,,,,,,no mature features
158,aust1307,Austronesian (> Malayo-Polynesian > Oceanic > New Caledonian),Papunesia,nee,Nêlêmwa-Nixumwak,yes2,gat,bril2016,93-95,"""It marks continuative aspect, but also denotes contradictory expectation or presupposition""",nelemwa2.png,bril2016,95,adverb/particle,continuative and contrastive marker,no,,despite,counter-expectation,no longer / not yet (still not),still not / (+ perfect + seq + neg) no longer,"no longer / not yet (still not), non-continuative meanings"
159,aust1307,Austronesian (> Malayo-Polynesian > Oceanic > Central Vanuatu),Papunesia,bpa,Dakaka,yes,ngabak,vonprince2012,178-179,,dakaka.png,vonprince2012,179,adverb/particle,adverbial particle,not clear,"p. 346 ""still small""",first,"first, p. 179",not yet (still not),"not yet, ex. 187 (p. 179)",non-continuative meanings
160,aust1307,Austronesian (> Malayo-Polynesian > Polynesian),Papunesia,tvi,Tuvalu,yes,koi,besnier2000,488,"""nonhabitual imperfective aspect of stative and dynamic verbs (continuous and progressive aspects respectively)""; koi tuai ‘before, not yet’ (literally, ‘still slow’) - p. 88",tuvalu.png,besnier2000,488,adverb/particle,tense-aspect-mood marker,yes,"p. 70 ""still young"", p. 82 ""still predawn"", p. 120 ""still exist/alive"", p. 90 - an example where there is no difference between still and while",while,"while, p. 90",,,"non-continuative meanings, non-emphatic"
161,nucl1709,Nuclear Trans New Guinea (> Madang),Papunesia,xes,Kesawai,yes,=apaie + te 'do' / deictic verb,priestley2008,381-383,in all examples multiplicative/habitual actions; ambigous with pluractionality,kesawai.png,priestley2008,382,adverb/particle,enclitic + verb 'do',no,,continuously,continuously,,,non-continuative meanings
162,nucl1709,Nuclear Trans New Guinea (> Dani),Papunesia,dnw,Western Dani,yes,awo,barclay2008,440-442,p. 428 with temporal expressions; p. 599 - a good example on natural development context with not yet,dani.png,barclay2008,441,adverb/particle,particle/adverb,yes,"most examples are from Bible, many of them are while-clauses; p. 24 ""still young"", p. 576 ""still morning"", p. 369 ""still milking cows"", p. 441 ""still a small boy"", p. 442 ""still a virgin""","just, recently, wait","just, recently, wait",not yet (still not),"not yet, p. 441","non-continuative meanings, non-emphatic"
163,nucl1709,Nuclear Trans New Guinea (> Ok),Papunesia,mpt,Mian,no,smā,fedden2011,122,,mian.png,fedden2011,102,adverb/particle,adverb,,,,,,,
164,aust1306,Austroasiatic (> Aslian),Papunesia,sza,Semelai,yes,lagiʔ,kruspe2004,299-300,"borrowing from Malay; means ""still"" in the pre-predicate position; only active verbs (with statives - ""more"", ""increasingly"")",semelai.png,kruspe2004,299,adverb/particle,adverb,no,not OCRed,"more, again","more, again, before (+ neg); ""more"" - ex. 23 (p. 431); ""before"" - ex. 267 (p. 390)",not yet (still not),"still not / not yet, p. 300",no mature features
165,nucl1708,Nuclear Torricelli,Papunesia,yev,Yeri,yes,ko / kua,wilson2017,477-479,"""like all class 2 particles, it can occur once or twice within the same clause""",yeri.png,wilson2017,478,adverb/particle,class 2 clause particle,yes,"p. 88 ""still a child"", p. 196 ""still morning"", p. 592 ""‘When my mother was young""",first,first,not yet (still not),"still not / not yet, p. 477, 479","non-continuative meanings, non-emphatic"
166,lowe1437,Lower Sepik-Ramu,Papunesia,yee,Yimas,yes,mpa-n,foley1991,250-251,"enclitic in combination with the present tense suffix - ""still""; suffix following by the marker of presens/perfect/imperative - ""just yet""",yimas.png,foley1991,250,adverb/particle,"enclitic, a marker of the Immediate Aspect",no,,"now, just, just now, already","now, just, just now, already",not yet (still not),"not yet, as a suffix, ex. 5-97",non-continuative meanings
167,timo1261,Timor-Alor-Pantar,Papunesia,bfn,Bunak,yes,taq,schapper2010,500-501,used with both states and processes,bunak.png,schapper2010,501,adverb/particle,aspectual (imperfective) particle,yes,"p. 279 ""When I was still ten years old"", p. 484 ""still young"",  p. 501 ""still alive"", p. 167 ""still pregnant""","imperfective, for some time","imperfective, for some time",not yet (still not),"not yet, p. 502","non-continuative meanings, non-emphatic"
168,timo1261,Timor-Alor-Pantar,Papunesia,bfn,Bunak,yes2,liol,schapper2010,457-458,"see also 13.8.3 ('still, calm' > frequantative)",bunak2.png,schapper2010,458,auxiliary,motion verb in aspectual serialisation,no,,"continually, after","continually, immediately after (""marks the clause it occurs in as happening immediately after the one denoted in the previous clause"")",,"""It is ungrammatical for the negator to occur between verbs of the SVC""","auxiliary / affix, non-continuative meanings"
169,more1255,Yam,Papunesia,tci,Anta-Komnzo-Wára-Wérè-Kémä,yes,komnzo,döhler2016,114-115,also a name of the language,komnzo.png,döhler2016,115,adverb/particle,apectual particle,not clear,"p. 145 ""still alive""","only, just","only, just",,,non-continuative meanings
170,nort2923,North Halmahera,Papunesia,tvo,Tidore,yes,moju,vanstaden2000,228-229,often doubled by the borrowing masi 'still' from North Moluccan Malay ,tidore.png,vanstaden2000,229,adverb/particle,aspectual adverb,not clear,"p. 69, p. 229 ""is still small"", p. 479 ""When they are still young""",more,"one more (rimoi moju), ex. 297-8 (p. 390)",,,no mature features
171,daga1274,Dagan,Papunesia,dgz,Daga,yes,-an,murane1974,62-63,,daga.png,murane1974,155,affix,"suffix, a marker of Prolonged Action Tense",no,,until,"to do smth until, p. 261-262",,,"auxiliary / affix, non-continuative meanings"
172,daga1274,Dagan,Papunesia,dgz,Daga,yes2,yaogi,murane1974,197,"no special description, appears in one example",daga2.png,murane1974,197,not_clear,?,no,,,,,,
173,sout2948,South Bougainville,Papunesia,siw,Siwai,yes,kotonoko,onishi1994,159,,siwai.png,onishi1994,159,adverb/particle,temporal adverb,no,,,,,,no mature features
174,sout2948,South Bougainville,Papunesia,siw,Siwai,yes2,tu(h) 'be' + participle,onishi1994,"473, 499-500",mongolian type,siwai2.png,onishi1994,500,auxiliary,copula + participle,no,,"for a long time, while","have been for a long time, (with the suffix -cont) while still",,,"auxiliary / affix, non-continuative meanings"
175,east1459,East Bird's Head,Papunesia,mtj,Moskona,yes,ros,gravelle2010,151,,moskona.png,gravelle2010,121,adverb/particle,clause-final adverb,yes,"p. 291 ""it was still sour (unripe)."", p. 357 ""he still breathes""; p. 366, p. 449 ""still alive""",,,,not yet is expressed by a different particle,non-emphatic
176,west2604,West Bomberai,Papunesia,kgv,Kalamang,yes,tok,visser2020,387-392,"""can also be a free-standing negative answer (an interjection) meaning either ‘still’ or ‘not yet’, depending on whether the question contained a negative or not""",kalamang.png,visser2020,387,adverb/particle,aspectual word,no,,"first, not yet","first, not yet (as an answer to the negative question); ex. 21 (p. 417) - ""first""",not yet (still not),"not yet, p. 391",non-continuative meanings
